"title","query","authors","categories","description","published","previewLink","industryId",
"Catastrophe Risk and Reinsurance. A Country Risk Management Perspective","intitle:risk+intitle:catastrophe","[Eugene N. Gurenko]","[Banks and Banking Reform]","Including the latest invaluable insights into catastrophe reinsurance, this book provides you with a wealth of risk management expertise gained from many of the largest catastrophe risk transfer programmes worldwide.","2004","http://books.google.es/books?id=T-bHj3XEHHgC&printsec=frontcover&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=1&source=gbs_api","9781904339205",
"Catastrophe Insurance Risks: Status of Efforts to Securitize Natural Catastrophe and Terrorism Risk","intitle:risk+intitle:catastrophe","[United States Government Accountability]",,"The BiblioGov Project is an effort to expand awareness of the public documents and records of the U.S. Government via print publications. In broadening the public understanding of government and its work, an enlightened democracy can grow and prosper. Ranging from historic Congressional Bills to the most recent Budget of the United States Government, the BiblioGov Project spans a wealth of government information. These works are now made available through an environmentally friendly, print-on-demand basis, using only what is necessary to meet the required demands of an interested public. We invite you to learn of the records of the U.S. Government, heightening the knowledge and debate that can lead from such publications.","2011-01-01","http://books.google.es/books?id=YEdMYgEACAAJ&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=2&source=gbs_api","1240681259",
"Catastrophe Risk. U. S. and European Approaches to Insure Natural Catastrophe and Terrorism Risks","intitle:risk+intitle:catastrophe","[William B. Shear]",,"Natural catastrophes & terrorist attacks (NCTA) can place enormous financial demands on the insur. industry (II), result in sharply higher prem. & substantially reduced coverage. There are mechanisms to increase the capacity of the II to manage these events. This report: (1) provides an overview of the II's current capacity to cover NCTA risks & discusses the impacts of the 2004 hurricanes; (2) analyzes the potential of catastrophe bonds -- a security issued by insurers & reinsur. & sold to instit'l. investors -- & tax-ded. reserves to enhance private-sector capacity; & (3) describes the approaches that 6 European countries have taken, incl. whether these countries permit insurers to use tax-deductible reserves for such events. Tables.","2005-08","http://books.google.es/books?id=udzdM4jqYtsC&printsec=frontcover&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=3&source=gbs_api","0756749441",
"Catastrophe Risk Management. Using Alternative Risk Financing and Insurance Pooling Mechanisms","intitle:risk+intitle:catastrophe","[John D. Pollner]","[Disaster insurance]","In providing support for disaster-prone areas such as the Caribbean, the development community has begun to progress from disaster reconstruction assistance to funding for investment in mitigation as an explicit tool for sustainable development. Now it must enter a new phase, applying risk transfer mechanisms to address the financial risk of exposure to catastrophic events that require funding beyond what can be controlled solely through mitigation and physical measures.","2001","http://books.google.es/books?id=j7Elo0hFg2QC&printsec=frontcover&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=4&source=gbs_api","Catastrophe Risk Ma",
"Sovereign Natural Disaster Insurance for Developing Countries: A Paradigm Shift in Catastrophe Risk Financing","intitle:risk+intitle:catastrophe","[Francis Ghesquiere]","[Banks and Banking Reform]","Abstract: Economic theory suggests that countries should ignore uncertainty for public investment and behave as if indifferent to risk because they can pool risks to a much greater extent than private investors can. This paper discusses the general economic theory in the case of developing countries. The analysis identifies several cases where the government's risk-neutral assumption does not hold, thus making rational the use of ex ante risk financing instruments, including sovereign insurance. The paper discusses the optimal level of sovereign insurance. It argues that, because sovereign insurance is usually more expensive than post-disaster financing, it should mainly cover immediate needs, while long-term expenditures should be financed through post-disaster financing (including ex post borrowing and tax increases). In other words, sovereign insurance should not aim at financing the long-term resource gap, but only the short-term liquidity need.","2007","http://books.google.es/books?id=ICU9_erB6DQC&printsec=frontcover&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=5&source=gbs_api","Sovereign Natural D",
"Catastrophe Risk Financing in Developing Countries. Principles for Public Intervention","intitle:risk+intitle:catastrophe","[J. David Cummins, Olivier Mahul]","[Political Science]","'Catastrophe Risk Financing in Developing Countries' provides a detailed analysis of the imperfections and inefficiencies that impede the emergence of competitive catastrophe risk markets in developing countries. The book demonstrates how donors and international financial institutions can assist governments in middle- and low-income countries in promoting effective and affordable catastrophe risk financing solutions. The authors present guiding principles on how and when governments, with assistance from donors and international financial institutions, should intervene in catastrophe insurance markets. They also identify key activities to be undertaken by donors and institutions that would allow middle- and low-income countries to develop competitive and cost-effective catastrophe risk financing strategies at both the macro (government) and micro (household) levels. These principles and activities are expected to inform good practices and ensure desirable results in catastrophe insurance projects. 'Catastrophe Risk Financing in Developing Countries' offers valuable advice and guidelines to policy makers and insurance practitioners involved in the development of catastrophe insurance programs in developing countries.","2009","http://books.google.es/books?id=B8JjAGAc9TIC&printsec=frontcover&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=6&source=gbs_api","9780821377369",
"Essay on the Housing Price Jump Risk and the Catastrophe Risk for the Property Insurance Company","intitle:risk+intitle:catastrophe","[???, ???, ???, ???????????????]",,,"2008","http://books.google.es/books?id=Pu9_mwEACAAJ&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=7&source=gbs_api","OCLC:837523245",
"Integrated Catastrophe Risk Modeling. Supporting Policy Processes","intitle:risk+intitle:catastrophe","[Aniello Amendola, Tatiana Ermolieva, Joanne Linnerooth-Bayer, Reinhard Mechler]","[Nature]","Efficient and equitable policies for managing disaster risks and adapting to global environmental change are critically dependent on development of robust options supported by integrated modeling. The book is based on research and state-of-the art models developed at IIASA (International Institute for applied Systems Analysis) and within its cooperation network. It addresses the methodological complexities of assessing disaster risks, which call for stochastic simulation, optimization methods and economic modeling. Furthermore, it describes policy frameworks for integrated disaster risk management, including stakeholder participation facilitated by user-interactive decision-support tools. Applications and results are presented for a number of case studies at different problem scales and in different socio-economic contexts, and their implications for loss sharing policies and economic development are discussed. Among others, the book presents studies for insurance policies for earthquakes in the Tuscany region in Italy and flood risk in the Tisza river basin in Hungary. Further, it investigates the economic impact of natural disasters on development and possible financial coping strategies; and applications are shown for selected South Asian countries. The book is addressed both to researchers and to organizations involved with catastrophe risk management and risk mitigation policies.","2012-12-11","http://books.google.es/books?id=HGqW9q5Z4cAC&printsec=frontcover&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=8&source=gbs_api","9789400722262",
"Catastrophe : Risk and Response. Risk and Response","intitle:risk+intitle:catastrophe","[Richard A. Posner Senior Lecturer University of Chicago Law School]","[Science]","Catastrophes, whether natural or man-made, that could destroy the human race are often dismissed as alarmist or fanciful, the stuff of science fiction. In fact the risk of such disasters is real, and growing. A collision with an asteroid that might kill a quarter of humanity in 24 hours and the rest soon after; irreversible global warming that might flip, precipitating ""snowball earth;"" voraciously replicating nanomachines; a catastrophic accident in a particle accelerator that might reduce the earth to a hyperdense sphere 100 meters across; a pandemic of gene-spliced smallpox launched by bioterrorists; even conquest by superintelligent robots-all these potential extinction events, and others, are within the realm of the possible and warrant serious thought about assessment and prevention. They are attracting the concern of reputable scientists--but not of the general public or the nation's policymakers. How should the nation and the world respond to disaster possibilities that, for a variety of psychological and cultural reasons, people find it hard to wrap their minds around? Richard Posner shows that what is needed is a fresh, thoroughly interdisciplinary perspective that will meld the insights of lawyers, economists, psychologists, and other social scientists with those of the physical sciences. Responsibility for averting catastrophe cannot be left either to scientists or to politicians and other policymakers ignorant of science. As in many of his previous books, Posner brings law and the social sciences to bear on a contemporary problem-in this case one of particular urgency. Weighing the risk and the possible responses in each case, Posner shows us what to worry about and what to dismiss, and discusses concrete ways of minimizing the most dangerous risks. Must we yield a degree of national sovereignty in order to deal effectively with global warming? Are limitations on our civil liberties a necessary and proper response to the danger of bioterror attacks? Would investing more heavily in detection and interception systems for menacing asteroids be money well-spent? How far can we press cost-benefit analysis in the design of responses to world-threatening events? Should the institutional framework of science policy be altered? we need educational reform? Is the interface of law and science awry? These are but a few of the issues canvassed in this fascinating, disturbing, and necessary book.","2004-11-11","http://books.google.es/books?id=SDe59lXSrY8C&printsec=frontcover&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=9&source=gbs_api","9780195346398",
"The Financing of Catastrophe Risk","intitle:risk+intitle:catastrophe","[Kenneth A. Froot]","[Business & Economics]","Is it possible that the insurance and reinsurance industries cannot handle a major catastrophe? Ten years ago, the notion that the overall cost of a single catastrophic event might exceed $10 billion was unthinkable. With ever increasing property-casualty risks and unabated growth in hazard-prone areas, insurers and reinsurers now envision the possibility of disaster losses of $50 to $100 billion in the United States. Against this backdrop, the capitalization of the insurance and reinsurance industries has become a crucial concern. While it remains unlikely that a single event might entirely bankrupt these industries, a big catastrophe could place firms under severe stress, jeopardizing both policy holders and investors and causing profound ripple effects throughout the U.S. economy. The Financing of Catastrophe Risk assembles an impressive roster of experts from academia and industry to explore the disturbing yet realistic assumption that a large catastrophic event is inevitable. The essays offer tangible means of both reassessing and raising the level of preparedness throughout the insurance and reinsurance industries.","2007-12-01","http://books.google.es/books?id=6kXph_NvBFMC&printsec=frontcover&dq=intitle:risk%2Bintitle:catastrophe&hl=&cd=10&source=gbs_api","0226266257",
