"title","query","authors","categories","description","published","previewLink","industryId",
"Propulsion System Flow Stability Program (Dynamic). Part II. Catalog of Transients Causing Propulsion System Instability","intitle:system+intitle:instability","[Earl H. Kaplan, NORTH AMERICAN ROCKWELL CORP LOS ANGELES CA LOS ANGELES DIV.]",,"A catalog of transients which have or might be expected to cause propulsion system instabilities was compiled. The transients are listed in four categories according to their source: (1) Atmosphere and External Environment, (2) Aircraft Attitude and Operating Condition, (3) Air Induction System Operating Conditions, and ((4) Engine Operating Conditions. Information for each transient is listed under the following descriptive headings: Significant Characteristic of the Transient, Signature, Transfer Mechanism, End Effect, Probability of Occurrence, and Potential Parameters for Sensing Transients. Additional information is presented in Appendices. (Author).","1968","http://books.google.es/books?id=MxSfNwAACAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=1&source=gbs_api","OCLC:227657646",
"Financial System Instability: Contagion, Or Common Shocks?","intitle:system+intitle:instability","[Mark Mink]",,,"2012","http://books.google.es/books?id=CR-6MwEACAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=2&source=gbs_api","9036756456",
"A Study of the Relationship Between the American Military Assistance Program and System Instability in Latin America from 1960 to 1967","intitle:system+intitle:instability","[John Lewis Dascanio]","[Latin America]",,"1974","http://books.google.es/books?id=9iiqNwAACAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=3&source=gbs_api","OCLC:39558416",
"The Application of Phasor Measurements in Power System Instability Detection","intitle:system+intitle:instability","[Weimin Ma]","[Electric power system stability]",,"1987","http://books.google.es/books?id=D0xjGwAACAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=4&source=gbs_api","OCLC:63215715",
"Financial System Instability. Threats, Prevention, Management, and Resolution","intitle:system+intitle:instability","[Mark Flannery]",,,"2009","http://books.google.es/books?id=8RJ8YgEACAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=5&source=gbs_api","OCLC:551904382",
"Generating a Watch List of Component Combinations Contributing to System Instability from a Sequence of Incident Reports","intitle:system+intitle:instability","[Benjamin L. Schulte]",,,"2006","http://books.google.es/books?id=FCBbNwAACAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=6&source=gbs_api","OCLC:67292998",
"Noisy Precursors for Nonlinear System Instability with Application to Axial Flow Compressors","intitle:system+intitle:instability","[Taihyun Kim]","[Axial flow compressors]",,"1997","http://books.google.es/books?id=hHKoSgAACAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=7&source=gbs_api","OCLC:40793987",
"Costs of Banking System Instability. Some Empirical Evidence","intitle:system+intitle:instability","[Glenn Hoggarth, Ricardo Reis, Victoria Saporta]","[Foreign exchange rates]",,"2001","http://books.google.es/books?id=-W_wSAAACAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=8&source=gbs_api","OCLC:248534964",
"Principles of Rotor System Instability","intitle:system+intitle:instability","[Zdzislaw A. Parszewski]","[Rotors]",,"1983","http://books.google.es/books?id=KVq3NAAACAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=9&source=gbs_api","OCLC:220134084",
"The Korea-Japan Treaty Crisis and the Instability of the Korean Political System","intitle:system+intitle:instability","[Kwan Bong Kim]","[Political Science]",,"1971","http://books.google.es/books?id=xcVwAAAAMAAJ&dq=intitle:system%2Bintitle:instability&hl=&cd=10&source=gbs_api","UOM:39015004157221",
