"title","query","authors","categories","description","published","previewLink","industryId",
"Global Market Conditions and Systemic Risk","market+systemic+risk","[Brenda Gonzlez-Hermosillo, Heiko Hesse, Gonz&#x00E1, lez-Hermosillo, Brenda]","[Business & Economics]","This paper examines several key global market conditions, such as a proxy for market uncertainty and measures of interbank funding stress, to assess financial volatility and the likelihood of crisis. Using Markov regime-switching techniques, it shows that the Lehman Brothers failure was a watershed event in the crisis, although signs of heightened systemic risk could be detected as early as February 2007. In addition, we analyze the role of global market conditions to help determine when governments should begin to exit their extraordinary public support measures.","2009-10-01","http://books.google.es/books?id=tJg54uDm4YMC&printsec=frontcover&dq=market%2Bsystemic%2Brisk&hl=&cd=1&source=gbs_api","9781451917956",
"Market Discipline Under Systemic Risk. Evidence from Bank Runs in Emerging Economies","market+systemic+risk","[Eduardo Levy Yeyati, Maria Soledad Martinez Peria, Sergio L. Schmukler]","[Bank failures]","""Levy-Yeyati, Martinez Peria, and Schmukler show that systemic risk exerts a significant impact on the behavior of depositors, sometimes overshadowing their responses to standard bank fundamentals. Systemic risk can affect market discipline both regardless of and through bank fundamentals. First, worsening systemic conditions can directly threaten the value of deposits by way of dual agency problems. Second, to the extent that banks are exposed to systemic risk, systemic shocks lead to a future deterioration of fundamentals not captured by their current values. Using data from the recent banking crises in Argentina and Uruguay, the authors show that market discipline is indeed quite robust once systemic risk is factored in. As systemic risk increases, the informational content of past fundamentals declines. These episodes also show how few systemic shocks can trigger a run irrespective of ex-ante fundamentals. Overall, the evidence suggests that in emerging economies, the notion of market discipline needs to account for systemic risk. This paper--a product of the Finance Team, Development Research Group--is part of a larger effort in the group to study market discipline""--World Bank web site.","2004","http://books.google.es/books?id=Cx8z4mvVHYYC&printsec=frontcover&dq=market%2Bsystemic%2Brisk&hl=&cd=2&source=gbs_api","Market Discipline U",
"Systemic Contingent Claims Analysis – Estimating Market-Implied Systemic Risk","market+systemic+risk","[Mr. Andreas A. Jobst, Mr. Dale F. Gray]","[Business & Economics]","The recent global financial crisis has forced a re-examination of risk transmission in the financial sector and how it affects financial stability. Current macroprudential policy and surveillance (MPS) efforts are aimed establishing a regulatory framework that helps mitigate the risk from systemic linkages with a view towards enhancing the resilience of the financial sector. This paper presents a forward-looking framework (""Systemic CCA"") to measure systemic solvency risk based on market-implied expected losses of financial institutions with practical applications for the financial sector risk management and the system-wide capital assessment in top-down stress testing. The suggested approach uses advanced contingent claims analysis (CCA) to generate aggregate estimates of the joint default risk of multiple institutions as a conditional tail expectation using multivariate extreme value theory (EVT). In addition, the framework also helps quantify the individual contributions to systemic risk and contingent liabilities of the financial sector during times of stress.","2013-02-27","http://books.google.es/books?id=XhbYslQUfAgC&pg=PR12&dq=market%2Bsystemic%2Brisk&hl=&cd=3&source=gbs_api","9781475557534",
"Collateral, Netting and Systemic Risk in the Otc Derivatives Market","market+systemic+risk","[Manmohan Singh]","[Business & Economics]","To mitigate systemic risk, some regulators have advocated the greater use of centralized counterparties (CCPs) to clear Over-The-Counter (OTC) derivatives trades. Regulators should be cognizant that large banks active in the OTC derivatives market do not hold collateral against all the positions in their trading book and the paper proves an estimate of this under-collateralization. Whatever collateral is held by banks is allowed to be rehypothecated (or re-used) to others. Since CCPs would require all positions to have collateral against them, off-loading a significant portion of OTC derivatives transactions to central counterparties (CCPs) would require large increases in posted collateral, possibly requiring large banks to raise more capital. These costs suggest that most large banks will be reluctant to offload their positions to CCPs, and the paper proposes an appropriate capital levy on remaining positions to encourage the transition.","2010-04-01","http://books.google.es/books?id=10JrdHH3XBAC&printsec=frontcover&dq=market%2Bsystemic%2Brisk&hl=&cd=4&source=gbs_api","9781451982855",
"Hedge funds and systemic risk in the financial markets. hearing before the Committee on Financial Services, U.S. House of Representatives, One Hundred Tenth Congress, first session, March 13, 2007","market+systemic+risk","[United States. Congress. House. Committee on Financial Services]","[Business & Economics]",,"2007","http://books.google.es/books?id=fAkMRZH5RVkC&q=market%2Bsystemic%2Brisk&dq=market%2Bsystemic%2Brisk&hl=&cd=5&source=gbs_api","PSU:000061498617",
"New Directions for Understanding Systemic Risk. A Report on a Conference Cosponsored by the Federal Reserve Bank of New York and the National Academy of Sciences","market+systemic+risk","[Board on Mathematical Sciences and Their Applications, Division on Engineering and Physical Sciences, National Research Council]","[Business & Economics]","The stability of the financial system and the potential for systemic events to alter its function have long been critical issues for central bankers and researchers. Recent events suggest that older models of systemic shocks might no longer capture all of the possible paths of such disturbances or account for the increasing complexity of the financial system. To help assess these concerns, the Federal Reserve Bank of New York and the NRC cosponsored a conference that brought together engineers, scientists, economists, and financial market experts to promote better understanding of systemic risk in a variety of fields. The book presents an examination of tools used in ecology and engineering to study systemic collapse in those areas; a review of current trends in economic research on systemic risk, the payments system, and the market of interbank funds; and for context, descriptions of how systemic risk in the financial system affects trading activities.","2007-12-31","http://books.google.es/books?id=1jGlL5OFf2oC&pg=PT16&dq=market%2Bsystemic%2Brisk&hl=&cd=6&source=gbs_api","030917953X",
"Systemic Risk from Global Financial Derivatives: A Network Analysis of Contagion and Its Mitigation with Super-Spreader Tax","market+systemic+risk","[Ms. Sheri M. Markose]","[Business & Economics]","Financial network analysis is used to provide firm level bottom-up holistic visualizations of interconnections of financial obligations in global OTC derivatives markets. This helps to identify Systemically Important Financial Intermediaries (SIFIs), analyse the nature of contagion propagation, and also monitor and design ways of increasing robustness in the network. Based on 2009 FDIC and individually collected firm level data covering gross notional, gross positive (negative) fair value and the netted derivatives assets and liabilities for 202 financial firms which includes 20 SIFIs, the bilateral flows are empirically calibrated to reflect data-based constraints. This produces a tiered network with a distinct highly clustered central core of 12 SIFIs that account for 78 percent of all bilateral exposures and a large number of financial intermediaries (FIs) on the periphery. The topology of the network results in the “Too- Interconnected-To-Fail” (TITF) phenomenon in that the failure of any member of the central tier will bring down other members with the contagion coming to an abrupt end when the ‘super-spreaders’ have demised. As these SIFIs account for the bulk of capital in the system, ipso facto no bank among the top tier can be allowed to fail, highlighting the untenable implicit socialized guarantees needed for these markets to operate at their current levels. Systemic risk costs of highly connected SIFIs nodes are not priced into their holding of capital or collateral. An eigenvector centrality based ‘super-spreader’ tax has been designed and tested for its capacity to reduce the potential socialized losses from failure of SIFIs.","2012-11-30","http://books.google.es/books?id=u9SqWVbez-AC&pg=PT19&dq=market%2Bsystemic%2Brisk&hl=&cd=7&source=gbs_api","9781475531862",
"Global Governance of Financial Systems : The International Regulation of Systemic Risk. The International Regulation of Systemic Risk","market+systemic+risk","[The Judge Institute University of Cambridge Kern Alexander Isaac Newton Trust Senior Research Fellow in International Financial Regulation, Rahul Dhumale The Policy and Analysis Function Federal Reserve Bank of New York, Cambridge John Eatwell President Queens College]","[Business & Economics]","The book sets forth the economic rationale for international financial regulation and what role, if any, international regulation can play in effectively managing systemic risk while providing accountability to all affected nations. The book suggests that a particular type of global governance structure is necessary to have more efficient regulation of the international financial system.","2005-08-12","http://books.google.es/books?id=Ms-ROC8zTAwC&pg=PA25&dq=market%2Bsystemic%2Brisk&hl=&cd=8&source=gbs_api","0198037325",
"Three Essays on Systemic Risk and Rating in Crop Insurance Markets","market+systemic+risk","[Joshua D. Woodard]",,"The second essay investigates the loss performance of the Federal Crop Insurance program. Historically, government insurance programs tend to be ineffective at segregating risks, leading to markets that are inefficient. In the case of the Federal Crop Insurance program, rates are set non-competitively. This study develops a spatial econometric model of loss experience and finds evidence of geographic misratings. The results also suggest that substantial actuarial cross-subsidization is resulting from the apparent rating inequities, which has a variety of welfare implications.","2008","http://books.google.es/books?id=Z8RtXAt5Y24C&pg=PA24&dq=market%2Bsystemic%2Brisk&hl=&cd=9&source=gbs_api","0549911456",
"Systemic Risk: Regulatory Oversight and Recent Initiatives to Address Risk Posed by Credit Default Swaps. Congressional Testimony","market+systemic+risk","[Orice M. Williams]",,"The U.S. financial system is more prone to systemic risk today than ever before. Credit default swaps (CDS) are one of the products that have assumed a key role in financial markets. This statement discusses: (1) the extent to which U.S. financial regulators and the UK regulator oversee CDS; (2) risks and challenges that CDS present to the stability of financial markets and institutions and similar concerns that other products may pose; and (3) the recent steps that financial regulators and the industry have taken to address risks pose by CDS and similar efforts that may be warranted for other financial products. Illustrations.","2009-09","http://books.google.es/books?id=GyllxQ4vQo8C&printsec=frontcover&dq=market%2Bsystemic%2Brisk&hl=&cd=10&source=gbs_api","1437913830",
