"title","query","authors","categories","description","published","previewLink","industryId",
"Global Market Conditions and Systemic Risk","market+systemic","[Brenda Gonzlez-Hermosillo, Heiko Hesse, Gonz&#x00E1, lez-Hermosillo, Brenda]","[Business & Economics]","This paper examines several key global market conditions, such as a proxy for market uncertainty and measures of interbank funding stress, to assess financial volatility and the likelihood of crisis. Using Markov regime-switching techniques, it shows that the Lehman Brothers failure was a watershed event in the crisis, although signs of heightened systemic risk could be detected as early as February 2007. In addition, we analyze the role of global market conditions to help determine when governments should begin to exit their extraordinary public support measures.","2009-10-01","http://books.google.es/books?id=tJg54uDm4YMC&printsec=frontcover&dq=market%2Bsystemic&hl=&cd=1&source=gbs_api","9781451917956",
"Market Discipline Under Systemic Risk. Evidence from Bank Runs in Emerging Economies","market+systemic","[Eduardo Levy Yeyati, Maria Soledad Martinez Peria, Sergio L. Schmukler]","[Bank failures]","""Levy-Yeyati, Martinez Peria, and Schmukler show that systemic risk exerts a significant impact on the behavior of depositors, sometimes overshadowing their responses to standard bank fundamentals. Systemic risk can affect market discipline both regardless of and through bank fundamentals. First, worsening systemic conditions can directly threaten the value of deposits by way of dual agency problems. Second, to the extent that banks are exposed to systemic risk, systemic shocks lead to a future deterioration of fundamentals not captured by their current values. Using data from the recent banking crises in Argentina and Uruguay, the authors show that market discipline is indeed quite robust once systemic risk is factored in. As systemic risk increases, the informational content of past fundamentals declines. These episodes also show how few systemic shocks can trigger a run irrespective of ex-ante fundamentals. Overall, the evidence suggests that in emerging economies, the notion of market discipline needs to account for systemic risk. This paper--a product of the Finance Team, Development Research Group--is part of a larger effort in the group to study market discipline""--World Bank web site.","2004","http://books.google.es/books?id=Cx8z4mvVHYYC&printsec=frontcover&dq=market%2Bsystemic&hl=&cd=2&source=gbs_api","Market Discipline U",
"Market-Based Policy Instruments for Systemic Bank Restructuring","market+systemic","[Tamim Bayoumi, Paul R. Masson]","[Business & Economics]","Since the early 1980s, well over 100 countries have experienced systemic bank insolvencies. An important innovation among the resulting policies for reestablishing bank soundness has been the reliance on market-based instruments and policies, in contrast to the largely non-market-oriented approach taken in the 1930s during the last big wave of banking crises. This paper surveys and assesses market-based policy instruments employed to overcome systemic bank problems. Considerations regarding the design and mix of instruments as well as cost-sharing arrangements are shown to be key aspects of effective bank restructuring. Selected country examples are used to illustrate best practices.","1998-08-01","http://books.google.es/books?id=5W5AUzasmIwC&printsec=frontcover&dq=market%2Bsystemic&hl=&cd=3&source=gbs_api","9781451899085",
"Market-oriented Systemic Transformations in Eastern Europe. problems, theoretical issues, and policy options : with 20 figures and 29 tables","market+systemic","[Paul J.J. Welfens]","[Business & Economics]","Socialist economies in Eastern Europe have collapsed and em- barked upon market-oriented reforms. The causes of the demise of centrally planned economies are analyzed and the basic challenges of systemic tranformation discussed. Negative income and wealth effects as well as distribution issues make adjustment extremely difficult. The fundamental roles of privatization and foreign investment are adressed. Foreign economic liberalization is considered to be of centralimportance for a growth-oriented adjustment path in a stage of conflict-prone policy and options. Politico-economic aspects of the new European developments in addition to North-South issues are analyzed. Difficult choices await decison-makers in economic policy and the business community in Eastern Europe and in leading market economies.","1992-09-10","http://books.google.es/books?id=Bll0UWt7S3EC&pg=PA93&dq=market%2Bsystemic&hl=&cd=4&source=gbs_api","3540557938",
"The Genesis of Innovation. Systemic Linkages Between Knowledge and the Market","market+systemic","[B. Laperche, Dimitri Uzunidis, G. N. Von Tunzelmann]","[Technology & Engineering]","The genesis and diffusion of innovation depends upon the density of the cognitive and market relationships among individuals, organisations and institutions at both the micro- and macro-economic level. This book presents a progressive enquiry into the economic and social origins of innovation.","2008-01-01","http://books.google.es/books?id=pQzCsYxXGK8C&printsec=frontcover&dq=market%2Bsystemic&hl=&cd=5&source=gbs_api","9781848442856",
"Systemic Contingent Claims Analysis Estimating Market-Implied Systemic Risk","market+systemic","[Mr. Andreas A. Jobst, Mr. Dale F. Gray]","[Business & Economics]","The recent global financial crisis has forced a re-examination of risk transmission in the financial sector and how it affects financial stability. Current macroprudential policy and surveillance (MPS) efforts are aimed establishing a regulatory framework that helps mitigate the risk from systemic linkages with a view towards enhancing the resilience of the financial sector. This paper presents a forward-looking framework (""Systemic CCA"") to measure systemic solvency risk based on market-implied expected losses of financial institutions with practical applications for the financial sector risk management and the system-wide capital assessment in top-down stress testing. The suggested approach uses advanced contingent claims analysis (CCA) to generate aggregate estimates of the joint default risk of multiple institutions as a conditional tail expectation using multivariate extreme value theory (EVT). In addition, the framework also helps quantify the individual contributions to systemic risk and contingent liabilities of the financial sector during times of stress.","2013-02-27","http://books.google.es/books?id=ZoS2W2UXscMC&pg=PA2&dq=market%2Bsystemic&hl=&cd=6&source=gbs_api","1557755019",
"Market-Based Policy Instruments for Systemic Bank Restructuring","market+systemic","[Claudia Helene Dziobek]","[Banks and banking]",,"1998-08-01","http://books.google.es/books?id=q563AAAAIAAJ&q=market%2Bsystemic&dq=market%2Bsystemic&hl=&cd=7&source=gbs_api","UCSD:31822026225169",
"International Capital Markets Part Ii. Systemic Issues in International Finance, August 1993","market+systemic","[International Monetary Fund Staff]","[Business & Economics]","This year’s capital markets report has been divided into two parts. Part I, Exchange Rate Management and International Capital Flows, examined the implications of the growth and international integration of national capital markets for the management of exchange rates, with particular attention paid to the currency turmoil that enveloped the European Monetary System last year.","1993-01-01","http://books.google.es/books?id=GTKwm0XW7mMC&printsec=frontcover&dq=market%2Bsystemic&hl=&cd=8&source=gbs_api","1463934300",
"Collateral, Netting and Systemic Risk in the Otc Derivatives Market","market+systemic","[Manmohan Singh]","[Business & Economics]","To mitigate systemic risk, some regulators have advocated the greater use of centralized counterparties (CCPs) to clear Over-The-Counter (OTC) derivatives trades. Regulators should be cognizant that large banks active in the OTC derivatives market do not hold collateral against all the positions in their trading book and the paper proves an estimate of this under-collateralization. Whatever collateral is held by banks is allowed to be rehypothecated (or re-used) to others. Since CCPs would require all positions to have collateral against them, off-loading a significant portion of OTC derivatives transactions to central counterparties (CCPs) would require large increases in posted collateral, possibly requiring large banks to raise more capital. These costs suggest that most large banks will be reluctant to offload their positions to CCPs, and the paper proposes an appropriate capital levy on remaining positions to encourage the transition.","2010-04-01","http://books.google.es/books?id=10JrdHH3XBAC&printsec=frontcover&dq=market%2Bsystemic&hl=&cd=9&source=gbs_api","9781451982855",
"The Limits of Market-Based Risk Transfer and Implications for Managing Systemic Risks","market+systemic","[Yoon Sook Kim]",,"The paper discusses the limits to market-based risk transfer in the financial system and the implications for the management of systemic long-term financial risks. Financial instruments or markets to transfer and better manage these risks across institutions and sectors are, as yet, either nascent or nonexistent. As such, the paper investigates why these markets remain ""incomplete."" It also explores a range of options by which policymakers may encourage the development of these markets as part of governments' role as a risk manager.","2006-01-01","http://books.google.es/books?id=cHfQi8CQ4rMC&pg=PA16&dq=market%2Bsystemic&hl=&cd=10&source=gbs_api","The Limits of Marke",
