"title","query","authors","categories","description","published","previewLink","industryId",
"Quantifying Systemic Risk","risk + systemic","[Joseph G. Haubrich, Andrew W. Lo]","[Business & Economics]","In the aftermath of the recent financial crisis, the federal government has pursued significant regulatory reforms, including proposals to measure and monitor systemic risk. However, there is much debate about how this might be accomplished quantitatively and objectively—or whether this is even possible. A key issue is determining the appropriate trade-offs between risk and reward from a policy and social welfare perspective given the potential negative impact of crises. One of the first books to address the challenges of measuring statistical risk from a system-wide persepective, Quantifying Systemic Risk looks at the means of measuring systemic risk and explores alternative approaches. Among the topics discussed are the challenges of tying regulations to specific quantitative measures, the effects of learning and adaptation on the evolution of the market, and the distinction between the shocks that start a crisis and the mechanisms that enable it to grow.","2013-01-24","http://books.google.es/books?id=cemEjRqwXFwC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=1&source=gbs_api","0226921964",
"Global Governance of Financial Systems : The International Regulation of Systemic Risk. The International Regulation of Systemic Risk","risk + systemic","[The Judge Institute University of Cambridge Kern Alexander Isaac Newton Trust Senior Research Fellow in International Financial Regulation, Rahul Dhumale The Policy and Analysis Function Federal Reserve Bank of New York, Cambridge John Eatwell President Queens College]","[Business & Economics]","The book sets forth the economic rationale for international financial regulation and what role, if any, international regulation can play in effectively managing systemic risk while providing accountability to all affected nations. The book suggests that a particular type of global governance structure is necessary to have more efficient regulation of the international financial system.","2005-08-12","http://books.google.es/books?id=Ms-ROC8zTAwC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=2&source=gbs_api","0198037325",
"Systemic Risk and Optimal Regulatory Architecture","risk + systemic","[Juan Sole, Marco A. Espinosa-Vega, Charles M. Kahn, Rafael Matta]","[Business & Economics]","Until the recent financial crisis, the safety and soundness of financial institutions was assessed from the perspective of the individual institution. the financial crisis highlighted the need to take systemic externalities seriously when rethinking prudential oversight and the regulatory architecture. Current financial reform legislation worldwide reflects this intent. However, these reforms have overlooked the need to also consider regulatory agencies' forbearance and information sharing incentives. In a political economy model that explicitly accounts for systemic connectedness, and regulators' incentives, we show that under an expanded mandate to explicitly oversee systemic risk, regulators would be more forbearing towards systemically important institutions. We also show that when some regulators have access to information regarding an institutions' degree of systemic importance, these regulators may have little incentive to gather and share it with other regulators. These findings suggest that (and we show conditions under which) a unified regulatory arrangement can reduce the degree of systemic risk vis--vis a multiple regulatory arrangement.","2011-08-01","http://books.google.es/books?id=NoYsp_o_YTcC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=3&source=gbs_api","1463900775",
"Bank Runs and Systemic Risk","risk + systemic","[Edwin H. Neave]","[Business & Economics]","This chapter examines performance and stability issues associated with bank operations. It first shows how bank portfolio structures pose a trade-off for both bank and system stability. It next considers policies for reducing the likelihood of speculative bank runs, examining the roles of lender of last resort, deposit insurance, and information production. Finally, the chapter considers how system risks differ from the risk of individual bank operations, and sketches policies for dealing with them.","2010-12-16","http://books.google.es/books?id=bCe6zrIcvcwC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=4&source=gbs_api","9780470944790",
"Engineering the Financial Crisis. Systemic Risk and the Failure of Regulation","risk + systemic","[Jeffrey Friedman, Wladimir Kraus]","[Business & Economics]","The financial crisis has been blamed on reckless bankers, irrational exuberance, government support of mortgages for the poor, financial deregulation, and expansionary monetary policy. Specialists in banking, however, tell a story with less emotional resonance but a better correspondence to the evidence: the crisis was sparked by the international regulatory accords on bank capital levels, the Basel Accords. In one of the first studies critically to examine the Basel Accords, Engineering the Financial Crisis reveals the crucial role that bank capital requirements and other government regulations played in the recent financial crisis. Jeffrey Friedman and Wladimir Kraus argue that by encouraging banks to invest in highly rated mortgage-backed bonds, the Basel Accords created an overconcentration of risk in the banking industry. In addition, accounting regulations required banks to reduce lending if the temporary market value of these bonds declined, as they did in 2007 and 2008 during the panic over subprime mortgage defaults. The book begins by assessing leading theories about the crisis—deregulation, bank compensation practices, excessive leverage, ""too big to fail,"" and Fannie Mae and Freddie Mac—and, through careful evidentiary scrutiny, debunks much of the conventional wisdom about what went wrong. It then discusses the Basel Accords and how they contributed to systemic risk. Finally, it presents an analysis of social-science expertise and the fallibility of economists and regulators. Engagingly written, theoretically inventive, yet empirically grounded, Engineering the Financial Crisis is a timely examination of the unintended—and sometimes disastrous—effects of regulation on complex economies.","2011-09-01","http://books.google.es/books?id=73EUJAMpfxYC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=5&source=gbs_api","9780812205077",
"Global Market Conditions and Systemic Risk","risk + systemic","[Brenda Gonzlez-Hermosillo, Heiko Hesse, Gonz&#x00E1, lez-Hermosillo, Brenda]","[Business & Economics]","This paper examines several key global market conditions, such as a proxy for market uncertainty and measures of interbank funding stress, to assess financial volatility and the likelihood of crisis. Using Markov regime-switching techniques, it shows that the Lehman Brothers failure was a watershed event in the crisis, although signs of heightened systemic risk could be detected as early as February 2007. In addition, we analyze the role of global market conditions to help determine when governments should begin to exit their extraordinary public support measures.","2009-10-01","http://books.google.es/books?id=tJg54uDm4YMC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=6&source=gbs_api","9781451917956",
"Econophysics of Systemic Risk and Network Dynamics","risk + systemic","[Frédéric Abergel, Bikas K. Chakrabarti, Anirban Chakraborti, Asim Ghosh]","[Science]","The primary goal of the book is to present the ideas and research findings of active researchers such as physicists, economists, mathematicians and financial engineers working in the field of ""Econophysics,"" who have undertaken the task of modelingand analyzing systemic risk, network dynamics and other topics.Of primary interest in these studies is the aspect of systemic risk, which has long been identified as a potential scenario in which financial institutions trigger a dangerous contagion mechanism, spreading from the financial economy to the real economy.This type of risk, long confined to the monetary market, has spread considerably in the recent past, culminating in the subprime crisis of 2008. As such, understanding and controlling systemic risk has become an extremely important societal and economic challenge. The Econophys-Kolkata VI conference proceedings are dedicated to addressing a number of key issues involved. Several leading researchers in these fields report on their recent work and also review contemporary literature on the subject.","2012-08-08","http://books.google.es/books?id=ZaFnDCIynisC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=7&source=gbs_api","9788847025530",
"Globalization and Systemic Risk","risk + systemic","[Douglas Darrell Evanoff]","[Business & Economics]","The impact of globalization of financial markets is a highly debated topic, particularly in recent months when the issue of globalization and contagion of financial distress has become a focus of intense policy debate. The papers in this volume provide an up-to-date overview of the key issues in this debate. While most of the contributions were prepared after the initial outbreak of the current global turmoil and financial crisis, they identify the relative strengths of the risk diversification and risk transmission processes and examine the empirical evidence to date. The book considers the relative roles of banks, nonbank financial institutions and capital markets in both risk diversification and risk transmission. It then evaluates the current status of crisis resolution in a global context, and speculates where to go from here in terms of understanding, resolution, prevention and public policy.","2009-01-05","http://books.google.es/books?id=J4qjkwkDGIoC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=8&source=gbs_api","9812833382",
"New Directions for Understanding Systemic Risk. A Report on a Conference Cosponsored by the Federal Reserve Bank of New York and the National Academy of Sciences","risk + systemic","[Board on Mathematical Sciences and Their Applications, Division on Engineering and Physical Sciences, National Research Council]","[Business & Economics]","The stability of the financial system and the potential for systemic events to alter its function have long been critical issues for central bankers and researchers. Recent events suggest that older models of systemic shocks might no longer capture all of the possible paths of such disturbances or account for the increasing complexity of the financial system. To help assess these concerns, the Federal Reserve Bank of New York and the NRC cosponsored a conference that brought together engineers, scientists, economists, and financial market experts to promote better understanding of systemic risk in a variety of fields. The book presents an examination of tools used in ecology and engineering to study systemic collapse in those areas; a review of current trends in economic research on systemic risk, the payments system, and the market of interbank funds; and for context, descriptions of how systemic risk in the financial system affects trading activities.","2007-12-31","http://books.google.es/books?id=1jGlL5OFf2oC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=9&source=gbs_api","030917953X",
"Technical Capabilities Necessary for Systemic Risk Regulation. Summary of a Workshop","risk + systemic","[Board on Mathematical Sciences and Their Applications, Division on Engineering and Physical Sciences, National Research Council]","[Business & Economics]","The financial reform plans currently under discussion in the United States recognize the need for monitoring and regulating systemic risk in the financial sector. To inform those discussions, the National Research Council held a workshop on November 3, 2009, to identify the major technical challenges to building such a capability. The workshop, summarized in this volume, addressed the following key issues as they relate to systemic risk: What data and analytical tools are currently available to regulators to address this challenge? What further data-collection and data-analysis capabilities are needed? What specific resource needs are required to accomplish the task? What are the major technical challenges associated with systemic risk regulation? What are various options for building these capabilities? Because every systemic event is unique with respect to its specific pathology--the various triggers and the propagation of effects--the workshop focused on the issues listed above for systemic risk in general rather than for any specific scenario. Thus, by design, the workshop explicitly addressed neither the causes of the current crisis nor policy options for reducing risk, and it attempted to steer clear of some policy issues altogether (such as how to allocate new supervisory responsibilities). More than 40 experts representing diverse perspectives participated in the workshop.","2010-02-08","http://books.google.es/books?id=7So2FzT5spwC&printsec=frontcover&dq=risk+%2B+systemic&hl=&cd=10&source=gbs_api","9780309150521",
